record,enterprise,metro,tract_pct_minority,tract_income_ratio,borrower_income_ratio,ltv,loan_purpose,fed_guarantee,borrower_race,borrower_gender,coborrower_race,coborrower gender,units,affordability
500303,1,1,3,3,3,5,1,4,7,9,2,4,1,4
1492869,1,1,2,2,3,3,1,4,5,9,1,4,1,4
1725947,1,1,2,2,2,2,8,4,9,9,3,3,1,4
994662,1,1,3,1,2,1,8,4,5,5,2,1,1,1
581337,1,1,3,1,3,3,8,4,5,9,2,4,1,4
1561351,1,1,2,3,3,4,1,4,5,5,1,2,1,4
953945,1,1,2,3,2,1,1,4,5,5,2,2,1,4
1635485,1,1,2,2,2,2,1,4,5,9,2,4,1,4
209269,1,0,1,3,3,2,1,4,9,9,2,4,1,4
901456,1,1,3,2,2,2,8,4,5,9,1,4,1,4
230488,1,1,3,2,2,1,1,4,7,7,1,2,1,4
1736897,1,1,2,3,3,2,8,4,5,5,1,2,1,4
928407,1,0,1,2,1,5,1,4,5,9,1,4,1,3
29137,1,1,3,3,3,1,8,4,7,5,1,2,1,4
532691,1,1,1,2,1,3,1,4,5,9,2,4,1,3
1543179,1,0,1,2,1,1,8,4,5,9,2,4,1,3
876582,1,1,2,2,3,2,8,4,9,9,3,4,1,4
296222,1,1,1,3,3,2,8,4,5,9,1,3,1,4
505636,1,1,1,2,2,1,8,4,5,5,3,3,1,4
1354226,1,1,3,1,3,5,1,4,3,9,2,4,1,4
1039847,1,1,3,2,2,5,1,4,7,9,1,4,1,4
819199,1,1,2,3,3,2,8,4,5,9,1,4,1,4
1532674,1,1,2,2,3,3,1,4,5,9,2,4,1,4
1608484,1,1,3,2,3,2,8,4,5,5,1,2,1,4
87247,1,1,2,3,3,1,1,4,5,9,2,4,1,4
18829,1,1,3,2,2,3,8,4,5,9,2,4,1,4
1193610,1,1,3,2,3,2,1,4,5,9,1,4,1,4
905378,1,1,1,2,2,3,1,4,5,5,1,2,1,4
431435,1,1,1,2,2,2,8,4,5,5,1,2,1,4
1001337,1,1,2,1,2,5,1,4,7,9,1,4,1,1
158205,1,1,1,3,3,3,1,4,3,9,1,4,1,4
796367,1,1,3,2,3,3,8,4,5,5,1,2,1,4
1262042,1,1,3,1,3,4,1,4,5,9,2,4,1,4
11199,1,1,3,2,1,1,1,4,7,9,2,4,1,3
1047581,1,1,3,1,1,5,1,4,3,9,2,4,1,2
1289068,1,1,3,2,3,3,1,4,5,9,1,4,1,4
86501,1,1,3,1,3,5,1,4,7,7,2,1,1,4
1038527,1,1,3,3,2,5,1,4,6,9,1,4,1,4
1051861,1,1,2,3,3,2,8,4,9,9,3,3,1,4
248876,1,1,3,1,3,2,8,4,5,5,1,2,1,4
